0 0.1 0 0.1 0 0.1  0.04 0.444444 0.75 0.864345 0.75 0.492947 0.600773
0 0.1 0 0.1 1 0.1  0.1 0.333333 0.875 0.838797 0.5 0.493437 0.539306
0 0.1 0 0.1 1 0.15  0.14 0.333333 0.875 0.875 0.5 0.478617 0.54944
0 0.1 0 0.1 1 0.2  0.14 0.333333 0.875 0.75 0.5 0.496593 0.554685
0 0.1 0 0.1 1 0.25  0.12 0.333333 0.875 0.75 0.25 0.491431 0.564227
0 0.1 0 0.1 1 0.3  0.08 0.333333 0.875 0.75 0.25 0.409469 0.525278
0 0.1 0 0.1 1 0.35  0.16 0.444444 1 0.625 0.125 0.29043 0.599134
0 0.1 0 0.1 2 0.1  0.52 0 0 4.22268e-10 0 0 0
0 0.1 0 0.1 2 0.15  0.52 0 0 4.22268e-10 0 0 0
0 0.1 0 0.1 2 0.2  0.52 0 0 4.22268e-10 0 0 0
0 0.1 0 0.1 2 0.25  0.52 0 0 4.22268e-10 0 0 0
0 0.1 0 0.1 2 0.3  0.52 0 0 4.22268e-10 0 0 0
0 0.1 0 0.1 2 0.35  0.52 0 0 4.22268e-10 0 0 0
0 0.1 1 0.1 0 0.1  0.04 0.444444 0.75 0.864345 0.75 0.492947 0.600773
0 0.1 1 0.15 0 0.1  0.04 0.444444 0.75 0.864345 0.75 0.492947 0.600773
0 0.1 1 0.2 0 0.1  0.04 0.444444 0.75 0.86127 0.75 0.492947 0.599243
0 0.1 1 0.25 0 0.1  0.04 0.444444 0.75 0.81658 0.75 0.492947 0.599243
0 0.1 1 0.3 0 0.1  0.04 0.444444 0.75 0.81658 0.75 0.492947 0.593714
0 0.1 1 0.35 0 0.1  0.04 0.444444 0.75 0.81658 0.75 0.492947 0.593714
0 0.1 1 0.4 0 0.1  0.04 0.444444 0.75 0.81658 0.75 0.492947 0.586598
0 0.1 1 0.45 0 0.1  0.04 0.444444 0.75 0.81658 0.75 0.492947 0.588982
0 0.1 1 0.5 0 0.1  0.04 0.444444 0.75 0.81658 0.75 0.492947 0.594302
0 0.1 1 0.55 0 0.1  0.04 0.444444 0.75 0.81658 0.75 0.492947 0.594644
0 0.1 1 0.6 0 0.1  0.04 0.444444 0.75 0.81658 0.75 0.492947 0.633421
0 0.1 1 0.65 0 0.1  0.04 0.444444 0.75 0.81658 0.75 0.492947 0.648813
0 0.1 1 0.7 0 0.1  0.04 0.444444 0.75 0.81658 0.75 0.492947 0.654749
0 0.1 1 0.75 0 0.1  0.04 0.444444 0.75 0.81658 0.75 0.492947 0.609965
0 0.1 1 0.8 0 0.1  0.04 0.444444 0.75 0.81658 0.75 0.492947 0.646056
0 0.1 1 0.85 0 0.1  0.04 0.444444 0.625 0.81658 0.75 0.492947 0.621227
